date_time,pressao_mH2O_final,gmu_level_mH2O_compensado,grafica_level_mH2O_compensado,correios_level_mH2O_compensado,chuva_mm_30min
2022-09-13 18:30:00,9.582363298499608,,,,0.0
2022-09-13 19:00:00,9.581184755117969,,,,0.0
2022-09-13 19:30:00,9.582420305229215,,,,0.0
2022-09-13 20:00:00,9.583655855340467,,,,0.0
2022-09-13 20:30:00,9.58684459347117,,,,0.0
2022-09-13 21:00:00,9.590033331601871,,,,0.0
2022-09-13 21:30:00,9.594069893221874,,,,0.0
2022-09-13 22:00:00,9.598106454841874,,,,0.0
2022-09-13 22:30:00,9.602338294833514,,,,0.0
2022-09-13 23:00:00,9.606570134825157,,,,0.0
2022-09-13 23:30:00,9.61076882196695,,,,0.0
2022-09-14 00:00:00,9.614967509108748,,,,0.0
2022-09-14 00:30:00,9.617525534486326,,,,0.0
2022-09-14 01:00:00,9.620083559863904,,,,0.0
2022-09-14 01:30:00,9.62007870822734,,,,0.0
2022-09-14 02:00:00,9.62007385659078,,,,0.0
2022-09-14 02:30:00,9.619338429348517,,,,0.0
2022-09-14 03:00:00,9.618603002106248,,,,0.0
2022-09-14 03:30:00,9.617899514804687,,,,0.0
2022-09-14 04:00:00,9.617196027503123,,,,0.0
2022-09-14 04:30:00,9.616007780848358,,,,1.27
2022-09-14 05:00:00,9.614819534193591,,,,0.254
2022-09-14 05:30:00,9.6143460953257,,,,1.27
2022-09-14 06:00:00,9.61387265645781,,,,1.27
2022-09-14 06:30:00,9.613833439062264,,,,0.254
2022-09-14 07:00:00,9.613794221666716,,,,0.0
2022-09-14 07:30:00,9.615806437931012,,,,0.0
2022-09-14 08:00:00,9.617818654195313,,,,0.254
2022-09-14 08:30:00,9.620746616860778,,,,0.254
2022-09-14 09:00:00,9.623674579526249,,,,0.508
2022-09-14 09:30:00,9.62858160560617,,,,0.254
2022-09-14 10:00:00,9.633488631686092,,,,0.254
2022-09-14 10:30:00,9.638106581087497,,,,0.0
2022-09-14 11:00:00,9.642724530488904,,,,0.0
2022-09-14 11:30:00,9.64559467781867,,,,0.0
2022-09-14 12:00:00,9.648464825148436,,,,0.0
2022-09-14 12:30:00,9.650012497211874,,,,0.0
2022-09-14 13:00:00,9.65156016927531,,,,0.0
2022-09-14 13:30:00,9.652906498421403,,,,0.0
2022-09-14 14:00:00,9.6542528275675,,,,0.0
2022-09-14 14:30:00,9.652587907620466,,,,0.0
2022-09-14 15:00:00,9.650922987673436,,,,0.0
2022-09-14 15:30:00,9.64520654689367,,,,0.0
2022-09-14 16:00:00,9.639490106113904,,,,0.0
2022-09-14 16:30:00,9.635785271,20.793614729,,,0.0
2022-09-14 17:00:00,9.643870576,20.794429424,,,0.0
2022-09-14 17:30:00,9.647807768,20.797592232,,,0.0
2022-09-14 18:00:00,9.654768161,20.800131839000002,,,0.0
2022-09-14 18:30:00,9.653713556,20.803086444,,,0.0
2022-09-14 19:00:00,9.660392721,20.807107279,,,0.0
2022-09-14 19:30:00,9.660533335,20.807466665,,,0.0
2022-09-14 20:00:00,9.65807259,20.805827410000003,,,0.0
2022-09-14 20:30:00,9.669392017,20.803807983,,,0.0
2022-09-14 21:00:00,9.66861864,20.794481360000006,,,0.0
2022-09-14 21:30:00,9.664962676,20.791137323999997,,,0.0
2022-09-14 22:00:00,9.666931272,20.784268728,,,0.254
2022-09-14 22:30:00,9.659127195,20.781872805000003,,,0.0
